tipo_dados, oversample, h_layer_size, h_layer_num, regularizer,regularizer_lambda, epochs, f1, loss
SUB-IT, true, 32, 2, L1, 1e-2, 5, 0.4502399127589967, 5.73403059778038
SUB-IT, true, 32, 2, L1, 1e-2, 15, 0.586431623931624, 4.681756578340121
SUB-IT, true, 32, 2, L1, 1e-3, 1, 0.2652975439860686, 4.829066068848218
SUB-IT, true, 32, 2, L1, 1e-3, 5, 0.4502399127589967, 2.7471643203606635
SUB-IT, true, 32, 2, L1, 1e-3, 15, 0.5847125097125098, 1.7302464488093838
SUB-IT, true, 32, 2, L2, 1e-2, 1, 0.2652975439860686, 5.142465181877276
SUB-IT, true, 32, 2, L2, 1e-2, 5, 0.4502399127589967, 3.0552166517526826
SUB-IT, true, 32, 2, L2, 1e-2, 15, 0.5847125097125098, 2.0336863270566505
SUB-IT, true, 32, 2, L2, 1e-3, 1, 0.2652975439860686, 4.559163254462868
SUB-IT, true, 32, 2, L2, 1e-3, 5, 0.4502399127589967, 2.47773716457051
SUB-IT, true, 32, 2, L2, 1e-3, 15, 0.5847125097125098, 1.4623986978106704
SUB-IT, false, 16, 1, L1, 1e-2, 1, 0.25709473425471774, 11.274380397211555
SUB-IT, false, 16, 1, L1, 1e-2, 5, 0.3947209525474284, 7.220240974718807
SUB-IT, false, 16, 1, L1, 1e-2, 15, 0.5344824200956276, 3.887066127332442
SUB-IT, false, 16, 1, L1, 1e-3, 1, 0.25709473425471774, 10.3625356288044
SUB-IT, false, 16, 1, L1, 1e-3, 5, 0.3947209525474284, 6.3211023280957
SUB-IT, false, 16, 1, L1, 1e-3, 15, 0.5344824200956276, 3.004424494468361
SUB-IT, false, 16, 1, L2, 1e-2, 1, 0.25709473425471774, 10.475815009485725
SUB-IT, false, 16, 1, L2, 1e-2, 5, 0.3947209525474284, 6.429746858912743
SUB-IT, false, 16, 1, L2, 1e-2, 15, 0.5344824200956276, 3.108774689808945
SUB-IT, false, 16, 1, L2, 1e-3, 1, 0.25709473425471774, 10.28265450775989
SUB-IT, false, 16, 1, L2, 1e-3, 5, 0.3947209525474284, 6.24193256471786
SUB-IT, false, 16, 1, L2, 1e-3, 15, 0.5344824200956276, 2.9264377867517295
SUB-IT, false, 16, 2, L1, 1e-2, 1, 0.263755204975129, 8.841486108815012
SUB-IT, false, 16, 2, L1, 1e-2, 5, 0.3964714946070878, 5.902803741349764
SUB-IT, false, 16, 2, L1, 1e-2, 15, 0.46887579250866745, 4.489707945314653
SUB-IT, false, 16, 2, L1, 1e-3, 1, 0.263755204975129, 7.460488031246911
SUB-IT, false, 16, 2, L1, 1e-3, 5, 0.3964714946070878, 4.534160273206746
SUB-IT, false, 16, 2, L1, 1e-3, 15, 0.4691164061926774, 3.142440079911355
SUB-IT, false, 16, 2, L2, 1e-2, 1, 0.263755204975129, 7.664921432916372
SUB-IT, false, 16, 2, L2, 1e-2, 5, 0.3964714946070878, 4.733474327011343
SUB-IT, false, 16, 2, L2, 1e-2, 15, 0.4691164061926774, 3.335151365929586
SUB-IT, false, 16, 2, L2, 1e-3, 1, 0.263755204975129, 7.342797886374538
SUB-IT, false, 16, 2, L2, 1e-3, 5, 0.3964714946070878, 4.41703964084204
SUB-IT, false, 16, 2, L2, 1e-3, 15, 0.4691164061926774, 3.0263416167417185
SUB-IT, false, 32, 1, L1, 1e-2, 1, 0.16427866483380915, 16.22863658366759
SUB-IT, false, 32, 1, L1, 1e-2, 5, 0.3021573094435789, 8.105330935285135
SUB-IT, false, 32, 1, L1, 1e-2, 15, 0.5402914513801611, 4.132942123647116
SUB-IT, false, 32, 1, L1, 1e-3, 1, 0.16427866483380915, 14.597386945244725
SUB-IT, false, 32, 1, L1, 1e-3, 5, 0.3021573094435789, 6.491217433309263
SUB-IT, false, 32, 1, L1, 1e-3, 15, 0.5402914513801611, 2.534163219065754
SUB-IT, false, 32, 1, L2, 1e-2, 1, 0.16427866483380915, 14.759242613622748
SUB-IT, false, 32, 1, L2, 1e-2, 5, 0.3021573094435789, 6.649034693197239
SUB-IT, false, 32, 1, L2, 1e-2, 15, 0.5402914513801611, 2.6891701053256636
SUB-IT, false, 32, 1, L2, 1e-3, 1, 0.16427866483380915, 14.450398995101086
SUB-IT, false, 32, 1, L2, 1e-3, 5, 0.3021573094435789, 6.3452887725245
SUB-IT, false, 32, 1, L2, 1e-3, 15, 0.5402914513801611, 2.3891326664415606
SUB-IT, false, 32, 2, L1, 1e-2, 1, 0.21549085652533928, 8.60507144225887
SUB-IT, false, 32, 2, L1, 1e-2, 5, 0.3242440830576104, 6.242439033063643
SUB-IT, false, 32, 2, L1, 1e-2, 15, 0.47704524774588464, 5.013852439775057
SUB-IT, false, 32, 2, L1, 1e-3, 1, 0.21549085652533928, 5.5883096419960445
SUB-IT, false, 32, 2, L1, 1e-3, 5, 0.3242440830576104, 3.2412543443083033
SUB-IT, false, 32, 2, L1, 1e-3, 15, 0.47704524774588464, 2.0334015938401953
SUB-IT, false, 32, 2, L2, 1e-2, 1, 0.21549085652533928, 5.903545388414816
SUB-IT, false, 32, 2, L2, 1e-2, 5, 0.3242440830576104, 3.552853022616334
SUB-IT, false, 32, 2, L2, 1e-2, 15, 0.47704524774588464, 2.341204741981132
SUB-IT, false, 32, 2, L2, 1e-3, 1, 0.21549085652533928, 5.318060787177525
SUB-IT, false, 32, 2, L2, 1e-3, 5, 0.3242440830576104, 2.9718322702712077
SUB-IT, false, 32, 2, L2, 1e-3, 15, 0.47704524774588464, 1.7648615880977887
