tipo_dados, oversample, penalty, c, max_iter, f1, loss
AP-COV, false, l2, 0.01, 5, 0.8596751721890765, 0.39844146244955075
AP-COV, false, l2, 0.01, 15, 0.849700424714329, 0.3507729441132078
AP-COV, false, l2, 0.1, 1, 0.8292286014892698, 0.5278810272326446
AP-COV, false, l2, 0.1, 5, 0.8596751721890765, 0.3916282433314467
AP-COV, false, l2, 0.1, 15, 0.849700424714329, 0.33929253287523703
AP-COV, false, l2, 1.0, 1, 0.8292286014892698, 0.5276017445805486
AP-COV, false, l2, 1.0, 5, 0.8596751721890765, 0.39095251542434395
AP-COV, false, l2, 1.0, 15, 0.849700424714329, 0.33825289407357034
AP-COV, false, l2, 10, 1, 0.8292286014892698, 0.5275738036889794
AP-COV, false, l2, 10, 5, 0.8596751721890765, 0.3908850086622803
AP-COV, false, l2, 10, 15, 0.849700424714329, 0.33815028244633416
Autoencoder, true, l1, 0.01, 1, 0.19777217318200924, 1.362782535477488
Autoencoder, true, l1, 0.01, 5, 0.1700404858299595, 1.3538694025071847
Autoencoder, true, l1, 0.01, 15, 0.1700404858299595, 1.3538694025071847
Autoencoder, true, l1, 0.1, 1, 0.3359217171717172, 1.4414416108137902
Autoencoder, true, l1, 0.1, 5, 0.38074425574425574, 1.5088040013584214
Autoencoder, true, l1, 0.1, 15, 0.3372993311036789, 1.4992713459928406
Autoencoder, true, l1, 1.0, 1, 0.3686886659403386, 2.405231896681528
Autoencoder, true, l1, 1.0, 5, 0.3495568332324641, 2.726958952710259
Autoencoder, true, l1, 1.0, 15, 0.3518806073153899, 2.9034846265469185
Autoencoder, true, l1, 10, 1, 0.39472776924389824, 2.6693261914322868
Autoencoder, true, l1, 10, 5, 0.3818850132787779, 3.48588744462801
Autoencoder, true, l1, 10, 15, 0.381016064752044, 4.1741879060285685
Autoencoder, true, l2, 0.01, 1, 0.352635522506574, 1.340643995366673
Autoencoder, true, l2, 0.01, 5, 0.272848922788706, 1.3168559232811299
Autoencoder, true, l2, 0.01, 15, 0.2707312506473536, 1.3061003317473459
Autoencoder, true, l2, 0.1, 1, 0.39143521896330885, 1.9817879561577805
Autoencoder, true, l2, 0.1, 5, 0.35774814993564996, 1.8802987491872007
Autoencoder, true, l2, 0.1, 15, 0.3303841524048778, 1.8068863911864015
Autoencoder, true, l2, 1.0, 1, 0.3874408894570185, 2.5785353542149543
Autoencoder, true, l2, 1.0, 5, 0.38190918849767, 3.1044310588387902
Autoencoder, true, l2, 1.0, 15, 0.3463019084068838, 3.280985576161998
Autoencoder, true, l2, 10, 1, 0.39472776924389824, 2.6882425356930324
Autoencoder, true, l2, 10, 5, 0.3824144475381357, 3.5403035687066797
Autoencoder, true, l2, 10, 15, 0.3885108676358404, 4.235838800054576
Autoencoder, false, l1, 0.01, 1, 0.1700404858299595, 1.1966335695199086
Autoencoder, false, l1, 0.01, 5, 0.1700404858299595, 1.1973721692765293
Autoencoder, false, l1, 0.01, 15, 0.1700404858299595, 1.1973721692765293
Autoencoder, false, l1, 0.1, 1, 0.1869050524774225, 1.197280539602051
Autoencoder, false, l1, 0.1, 5, 0.1700404858299595, 1.2018415547080161
Autoencoder, false, l1, 0.1, 15, 0.1700404858299595, 1.1988598661399452
Autoencoder, false, l1, 1.0, 1, 0.31688964556819366, 1.6125384817176338
Autoencoder, false, l1, 1.0, 5, 0.3144869598324767, 1.6908126548736617
Autoencoder, false, l1, 1.0, 15, 0.3145303672316384, 1.7984305967705883
Autoencoder, false, l1, 10, 1, 0.30514984621986985, 1.8271975172249784
Autoencoder, false, l1, 10, 5, 0.329563838223632, 2.273149235790899
Autoencoder, false, l1, 10, 15, 0.3549871181450129, 2.641028828640467
Autoencoder, false, l2, 0.01, 1, 0.16869918699186992, 1.2942498281141346
Autoencoder, false, l2, 0.01, 5, 0.18640689300411523, 1.1913621783472879
Autoencoder, false, l2, 0.01, 15, 0.21112273361227335, 1.1803332593277363
Autoencoder, false, l2, 0.1, 1, 0.2622058882939917, 1.6049691328934172
Autoencoder, false, l2, 0.1, 5, 0.2625360926199296, 1.459544873067535
Autoencoder, false, l2, 0.1, 15, 0.2528947939624658, 1.3734158277227229
Autoencoder, false, l2, 1.0, 1, 0.30513796246726377, 1.806638812289817
Autoencoder, false, l2, 1.0, 5, 0.3257334183673469, 2.1043372471122943
Autoencoder, false, l2, 1.0, 15, 0.3186419025157233, 2.1675638693320582
Autoencoder, false, l2, 10, 1, 0.30514984621986985, 1.8506016899570419
Autoencoder, false, l2, 10, 5, 0.3204184934236748, 2.354804519244235
Autoencoder, false, l2, 10, 15, 0.35539700358361037, 2.7789936419762116
SUB-IT, true, l1, 0.01, 1, 0.7903567643942069, 0.6186703180460116
SUB-IT, true, l1, 0.01, 5, 0.8055683871989342, 0.610216908147367
SUB-IT, true, l1, 0.01, 15, 0.7984179507168013, 0.608724602940871
SUB-IT, true, l1, 0.1, 1, 0.7855780529627104, 0.5429701869227606
SUB-IT, true, l1, 0.1, 5, 0.8039456354893122, 0.45310913587801355
SUB-IT, true, l1, 0.1, 15, 0.8285863494449928, 0.41313522222906207
SUB-IT, true, l1, 1.0, 1, 0.789642375168691, 0.5374953155300506
SUB-IT, true, l1, 1.0, 5, 0.8039456354893122, 0.44304076917885116
SUB-IT, true, l1, 1.0, 15, 0.8259366771358777, 0.4037335412221986
SUB-IT, true, l1, 10, 1, 0.789642375168691, 0.5370027573156272
SUB-IT, true, l1, 10, 5, 0.8039456354893122, 0.44234422449222965
SUB-IT, true, l1, 10, 15, 0.8255607372862536, 0.4045497902907486
SUB-IT, true, l2, 0.01, 1, 0.789642375168691, 0.5381379908816328
SUB-IT, true, l2, 0.01, 5, 0.8039456354893122, 0.4444385841150363
SUB-IT, true, l2, 0.01, 15, 0.8259366771358777, 0.4060734746008399
